wj;I
Ams-jb;Noun
Amsw;Sky
Anq;Staff
Ar;Noun
Ar;Walker fluid
Art;Noun
Art;to be impatient
Art;disappointment
Arjt;Noun
Arw;to be sad, miserable
Arwkt;cow
Arwtjjw;goddess
Arr;pain
Arr;Sorrowful
Ars;sorrow
Ah;College of gods
Aht;faint, weak
Aht;the exhausted
Ahw;cake
Ahw;field, field soil
Ahmt;field
Ahrw;shaft
Ahd;irrigated fields
Ahd;fields
AH;wave of flood
AHt;deity
AHt-nmHw;glorious, excellent, useful
AH-Ht;dignity as spirit, spirit power
AHt-tftf;being spirit
AHAHj;spirit, transfiguration soul
AHjt;become blessed, blessed, dead
AHjj;name for beer, wine
AHs;green, flourish
Ax;<<in the Amarna period>>
Ax;flood time
Ax;thing
Ax;glory, useful thing
Ax;blessed dead
Ax;Transfigured
Ax;snake of the king
Ax;Eyes of gods
Ax;Hathor cow
Ax;flame, fire
Axt;Name for a priestess
Axt;bread
Axt;vessel for Osiris limbs
Axt;horizon, place of sunrise
Axt;Field
Axt;Goddess of the fertile land
Axt;Ibis
Axt;Knife
Axt;Horizon dweller
Axt;Arable plants
Axt;epithet of Hathor of Dendera
Axt;wise, well-meaning
Axt;Amarna
Axt;Waters
Axt;Sky cow
Axt;Deans
Axt;Noun
Axtj;green, being green
Axtj;bone
Axtjt;designation of the stars
Ax-jb;ship device
Axt-jtn;dawn
Ax-bjt;cordage
Ax-bjtt;Stars
Ax-nxx;sweep together
AxA;Plants
AxAx;Room
AxAx;Slaughterhouse
AxAx;Power
AxAx;Deans
AxAx;Eat desire
AxAx;get into glow
AxAxw;scrape
Axj;stonemason
Axj;pass through
Axjjt;scratch
Axjjt;swallow
Axw;the swallower
Axwj;demon:
Axf;hurry
Axfxf;noun
AXa;part of the body of cattle and pigs
AXa;stench of corpse
AXa;goddess Isis
AXat;material
AXb;Trembling
AXbjj;bird dung
AXbw;burn
As;the radiant one
As;name of a goddess
As;sky
As;to mow with sickle, to harvest
Ast;sickle
Ast;the trembler
Ast;god of the Libyans
Asw;spit out
Asb;to be piercing
Asb;noun
Asbt;disease
Asrt;roast
Asx;roast piece
Asx;perish, perish
Astjj;devastation
AS;rise
AS;part of the ship
AS;loss
ASASt;flour
ASjt;type of bread
ASr;hatchet
ASrt;robe
Aq;Deity
Aq;glutton
Aq;demons
AqA;bend
Aqjt;disease
Aqw;earth god
Aqw-n-hA;plants
AqHw;flood
Aqs;noun
Aqs;flood
Aqs;noun:
Aqd;shudder
Aqdw;overflow
Ak;part of the reed
Akw;sheaf of flax stalks
Akwt;sun ship
Akr;care for someone
Ag;crown of the gods
AgAp;be crowned
Agb;incense
Agb;tree
Agbj;crowned
Agbw;wait, raise
Agbgb;bier, bed
Agbgb;Nurse
Aggt;official
Aggt;attack, aggression
Atj;burn to ashes
Atj;invite
Atf;Box
Atf;Last
Atf;Load
Atf;crocodile
Atftj;be angry
AT;rage
ATt;provide for
ATjt;decompose
ATw;smear
ATw;become dull
AT(w);eye disease
ATp;Angry
ATp;deity
ATpw;Leaf of the reed
ATpwt;Thot
Ad;oh!
Ad;worship, pray
Ad;oh!
Ad;verily!
Ad;stride
Ad;backbone
Ad;support bar
Adt;noun
Adw;site
Admw;name of a goddess
Adt;Offering
j;Time
j;Space
j;Plant
jjr;Milk god
jA;Name of milk
jA;Noun
jA;standard gods
jA;egypt
jAt;Abaton
jAt;stone
jAt;plant
jAt;club
jAt;branch, rod
jAt;Noun
jAt;Bird
jAt;Ram
jAt;Old man
jAtj;hair braids
jAtt;Apron
jAtt;Hill
jAtjjw;praise
jAwt;official used
jAt-wabt;Old man
jAA;Old
jAA;Greisin
jAAt;old man, old woman
jAAt;Device
jAAt;Dignity
jAAw;Cattle
jAAw;dignitary
jAjt;noblest offices
jAjw;box
jAa;age
jAa;age
jAw;Name of Horus
jAw;noun
jAw;malodorous o ä
jAw;Left
jAwt;left side
jAwt;East
jAwt;left eye
jAwt;east
jAwt;East wind
jAwt;east
jAwtj;left eye
jAwt-xntt;left
jAwA;foundation, treasure
jAwj;silver object
jAwj;snake goddess
jAwtj;Trap
jAb;Bird
jAb;East inhabitant
jAb;East
jAbt;stake, board
jAbt;deity
jAbt;Claw
jAbtj;outflow
jAbtj;bind
jAbtt;burn
jAbtt;Traür
jAbj;plant
jAbjs;Uraeustion
jAbrk;place of execution
jAbtt;designation of a star
jAbtt;ribbon
(j)Abt;tread
jAbtjw;to be miserable, to torment
jAbtjw;wretch, poor, sacrilegious
jApt;want, need
jApjj;part of a fish
jAft;scepter
jAfw;rush
jAm;God of the rush
jAm;vine, grape
jAr;God of Upper Egypt
jAr;shine
jAr;epithet of Hathor
jArt;to be flooded
jArt;shine
jArt;goddess of the night sky
jArw;bald
jArw;name of a Hathor priest
jArrt;sky
jAHs;call
jAx;name of Seth
jAxt;crawl
jAxj;dominate
jAxw;rise
jAst;leek
jAs;old
jAs;traürn
jAs;Traür
jAsw;Complaining
jAS;part of the underworld
jAS;wailing woman
jAq;official used
jAq;to be mutilated
jAq;Injury
jAqt;mutilation
jAk;Judgment site
jAkb;Designation of a star
jAkb;Ribbon
jAkbj;tread
jAkbj;to be miserable, to torment
jAkbjt;wretch, poor, sacrilegious
jAgwt;want, need
jAT;cattle pasture
jATt;dew
jATjw;net for bird catching, clothes
jATw;Emergency year
jAd;place name
jAd;Plague
jAd;place in the realm of the dead
jAd;Plant
jAd;saying
jAdt;agree
jAdt;come
jAdt;Epithet of Horus
jAdt;Fish
jAdt-rnpt;Sanctuary in Letopolis
jAdj;mischief
jAdw;knife
jAdw;welcome!
jAdmt;Designation of the stepmother
jj;go wherever you want
jj;to approach sacrilegiously
jj;to be devoted to someone
jj;field
jj;deer, ram
jj;marsh plant
jj;welcome
jj;Bearer of the naos
jjt;bead net, row of beads
jjt;Washing bowl
jjt;grave
jjwj;ascend
jj-msj;Ceremony
jj-n-gs=f;apron
jj-r-thj;creature threatening the dead
jj-Hr-mw;purifier
jjr;who rejoices
jjr;wash
jjH;washer
jjtj-aDtj;official used
jjjtjjw;delight
jat;gold washer, gold washing
ja;sharp
ja;fruit or grain
ja;noun:
ja-Hr;smear with plaster
jaA;breakfast
jaAt;offerings
jajt;rake
jajj;bowl
jaj;unite
jaj;sacrifice
jajt;need
jaj-jb;squeeze
jaj-nb;device, container for myrrh
jaj-Hr;female baboon
jaa;baboon
jaa;distress
jaaw;gemstone in the rough
jaw-rA;rise
jabt;snake
jab;carrier of the royal serpents
jab;dwelling of the gods
jab;Moon
jab-jxt;18 month day
jabw;Building
jaf;Full moon
jan;<<in Middle Egypt>>
jant;its
janj;part of the ship
janw;its
jar;Hunchback
jar;ferryman
jart;harpooner
jartj;come
jarjt;Island
jaH;cattle
jaH;disconnect
jaHt;Dog
jaH-wr;Name of Thot
jw;Evil
jw;lament
jwt;device
jw;the one who does not
jw;the one which not
jw;Designation of the Seth
jw;come for
jw;Dispossessed
jw;Designation for the seed
jw;Gebelen
jw;dispossessed
jw;Necropolis of Hermopolis
jw;Edfu
jw;to be destined for something
jw;despondent
jw;have
jwt;indestructible
jwt;cattle
jwtj;to rejoice
jwtj;take away, rob
jw + r;fish
jwtj=f;cow
jw=f-m-nrj;cattle ?
jw-m-jtrw;white bread
jwtj-n=f;worker
jw-nsrsr;Throat
jw-nSn;taking away, transporting away
jw-r;shipless
jwtj-HAtj=f;water
jw-Xr;incense
jwtj-skw=f;shrub
jwA;handle
jwA;Evil
jwA;house
jwA;which is not
jwAt;dog
jwAt;complain
jwAt;part of the leg
jwAjt;designation of quadruped animals
jwAjt;inherit
jwAw;bestow
jwj;reward
jwj;heiress
jwj;heir, inheritance
jwj;heirs
jwj;troop
jwjt;settlement
jwjt;inheritance
jwjj;ring as award
jwjw;woe! wail
jwjw;Ferryman in the sky
jwa;part of the bread
jwa;denotes the monkey, as which Atum incarnates himself
jwa;meat
jwa;salted meat
jwa;plant
jwat;falsehood
jwat;to carry in procession
jwawt;color
jwajt;nest
jwajt;unite
jwaw;Wind
jwaw;pillar
jww;Epithet of Osiris
jww;Maürbrecher
jwbt;heap of corpses
jwf;Heliopolis
jwf;Dendera
jwf-dr;Arch
jwm;Noun
jwms;Troglodytes
jwn;Musician in the temple
jwn;Goddess of Dendera
jwn;Flower
jwn;Designation of the moon
jwn;Hermonthis
jwn;Canopic mouth of the Nile
jwn;water body
jwn;Epithet of Amun
jwn;Name of the person represented as Statü
jwn;Hermonthis
jwnt;Hall of columns
jwnt;Goddess of Dendera
jwnt;Letopolis
jwntj;Goddess of Hermonthis
jwntj;Epithet of the sun god
jwntt;Heliopolis
jwn-n-pt;staff
jwn-Haa;upright column
jwn-Sma;Hermonthis
jwn-grb;Heliopolis
jwnj;epithet of Atum
jwnj;dwelling of a god
jwnj;lie
jwnj;receive
jwnjt;Pregnancy
jwnjt;feast
jwnjt;meat food
jwnjt;Pregnant
jwnw;bean
jwnw;carry, load
jwnw;wet, fertilize
jwnw pr;rob
jwnw-Smaw;evil
jwnwj;weep, lament
jwnwj;designation of Isis as wailing woman
jwnn;flood
jwns;name of a dwarf
jwr;officially used
jwr;goddess
jwr;masturbator
jwr;Libra
jwrt;dough, porridge
jwrjt;tough dough
jwh;plant
jwH;the one who has nothing
jwH;those who do not; those who no longer exist = the dead
jwH;<<lies {Axtyw}>>
jwH;blameless
jwHjt;incorruptible
jwHw;Decayed
jwHw;God
jwHw;earth
jws-aAs;separate, divorce
jwsAw;catch
jwsw;separation
jwSS;incense
jwSS-sTA;Noun
jwqt;plant
jwtjj;hide
jwtjjw;heart
jwtjjw;hostile
jwtj-btA=f;Name of Apophis
jwtj-hbn-Snw;Deciduous tree
jwtjw;Sistrum
jwtjw;buck
jwtn;Ointment
jwd;Thirsty
jwd;suspect
jwdt;silver toilet object
jwdnb;part of the bird net
jwDmn;title or official title
jb;path
jb;bread crumb
jb;thirst
jb;Part of a plant
jb;Watch out!
jb;amulet
jb;carefully
jb;Epithet of Chon
jb;Epithet of Thot
jb;part of a plant
jb;token
jb;dance
jb;amusement
jb;dancer
jbt;ointment
jbt;dancer
jbt;insect
jbt;End
jb r=k;Dances
jbwjj;maned sheep
jb-m-srf;sleep
jb-n-ra;Handle, grip
jb-n-ra;servants of Neith
jb-n-dnrg;thirst
jbA;Darling
jbA;calf
jbA;ropes
jbA;Noun
jbAt;plant
jbAt;Refuge
jbAjjt;Tree
jbAjjt;Rope on ship
jbAw;Beetle
jbAw;Rope on ship
jbAn;Name of Apophis
jbj;Knife
jbjjt;Mineral
jbj;Ointment
jbjb;Stallion
jbw;River
jbw;Snake
jbw;Stone
jbw;tooth
jbw;laugh
jbw sxt;be wet
jbwj;blast
jbb;official used
jbbw;water
jbn;part of the ship
jbn;bandana
jbnw;oil
jbr;Plant
jbr;Catafalque
jbr;disease
jbhAhjtj;Bread
jbhtj;sow
jbH;Lynx fur
jbH;Bird trap
jbH;Bird trap
jbHw;Animal species
jbx;Noun
jbxj;Month
jbX;Feast
jbs;Name of the month priest
jbs;Name of the moon
jbsA;count
jbsA;Stairs
jbsw;blow
jbsn;red dye
jbSt;count
jbkA;measure
jbt;lockable part of building
jbTt;Fraünhaus
jbTtj;Fixed
jbTrsw;Luxor
jbTt;Goddess
jbd;name for heaven
jbd;official used
jbd;intelligible
jbd;Epithet of Thoth
jp;Epithet of the Töris
jp;Feast
jp;Karnak
jp;red dye
jpt;Office o ä
jpt;office o ä
jpt;fly
jpt;goddess
jpt;alabaster device
jpt;month
jpt;Goddess
jpt;levies, taxes
jpt;Pieces of files
jp-jb;Drink
jp-jb;Panopolis
jp-Hmt=s;this
jp-Hmt=s;Lion goddess of Mankabad
jpt-swt;epithet of Min
jpA;Drink
jpA;Kloss
jpAt;clay brick, earth for brick
jpj;this
jpjj;pig
jpjp;part of the ship
jpjp;official used
jpjpt;Cup
jpw;Bread for soldiers
jpw;Measure for cake
jpw;Furniture
jpw;Dean
jpw;part of the body of cattle
jpwjj;turn over
jpwj;fruit
jpwr;four corners, sides
jppt;four-sided piece of land
jppt;sanctuary in Edfu
jpn;four weave, four sided piece of linen
jpH;square block of stone
jps;run away
jpSnn;four number
jpt;part of a team
jpt;there, there
jpt;pupil
jpd;wail
jpdw;rib
jpDs;shape
jft;sound
jfn;bird
jft;part of the wagon
jfd;Noun
jfd;Sea
jfd;Powder
jfd;city of Buto in Lower Egypt
jfd;of Buto
jfd;Child
jfdt;goddess of Buto
jmt;shortness of breath
jm;Gau of Pelusium
jm;date palm?
jm;be pleasant
jm;kindness
jm;beautiful figure
jm;name of the sacrificial food
jm;beautify
jm;land in Nubia
jm;female ibex
jm;female
jmt;kindness
jmt;beauty
jmtj;priestess in Edfu
jmtj;to be happy
jmtt;popular
jmt pt;leaves of the {jmA} tree
jmtj-xntj;epithet of Hathor
jmA;place of Hathor
jmA;shine of the sun
jmA;red color
jmA;tent
jmA;name of Amon
jmA;name of the incense
jmA;piece of the spine with spinal cord
jmAt;to be worthy, to honor someone
jmAt;Dignity
jmAt;Dignified
jmAt;Glorification
jmAt;Worthy
jmAt;Worthy
jmA-jb;the one who is shaped
jmA-jb;Inner
jmAjt;located in
jmAjt;Inside of a fruit
jmAw;young in the egg
jmAw;belonging to
jmAw;not to be
jmAw;give!
jmAwtj;Sun eye
jmAx;Flame
jmAx;Companion on board
jmAx;priest in yearly service
jmAx;those in heaven = the gods
jmAx;those in the house = servants, household
jmAxjjt;darling
jmAxw;mind
jmAxwt;thought
jmj;designation for the monthly serving priests
jmj;designation of the captain
jmj;title of office and priest
jmj;Epithet of the sun god
jmj;Name of the king
jmj;Epithet of the sun god
jmj;Hour watcher
jmj;West, right, starboard
jmjt;Priestly phylum
jmjt;snake
jmj wsx;sacrifice laid down in the courtyard of the temple
jmj rnpt;symbol and title of Anubis
jmjw-pt;in the middle of
jmjw-pr;located in front of, formerly
jmj-jb;ancestor
jmj-jb;title of Osiris
jmjt-jb;Priest title in Edfu
jmj-jbd=f;Legacy
jmj-jrtj;will
jmj-js;Household goods
jmj-jtn=f;aquatic animals
jmj-aH;officially used
jmj-wjA=f;Name of a snake
jmj-wnwt;Priestly phylum of the dead
jmj-wrt;Designation of the ship's stern
jmj-wrt;Name of a dead priest phylum
jmj-whn=f;Tongue
jmjjt-wsxt;Head
jmj-wt;saying
jmj-wtj;Devices
jmj-bAH;Title of the bleacher
jmj-bAH;List
jmj-bAg;Name for enemy
jmj-p;anklet
jmj-pr;the current
jmjt-pr;stop!
jmjt-pr;on duty on his day
jmj-mw;present
jmj-n-Hmm;former
jmj-nAwt;ancestor
jmj-nfrt;former state
jmjt-nDst;increase!
jmjt-nDst;epithet of the sun
jmj-rA;who is on his supporting throne
jmj-rA;the one in heaven = the sun
jmj-rA;title of a priest
jmjt-rA;title of a priest
jmj-rA-HAt;entourage
jmj-rn=f;located behind
jmj-rd;embryo
jmj-rd;viscera
jmj-hAw=f;thought
jmj-hjw;ornament
jmj-hrw=f;assistant of a superior
jmj-HAt;embryo
jmj-HAt;Epithet of the sun god
jmj-HAt;God in underworld
jmjt-HAt;from a divine butcher
jmj-HAw;name of snakes, stones
jmj-Hb-sd;crutch
jmj-Hntj=f;within
jmjj-Hrt;Designation of the mirror
jmj-xnt;cause!
jmj-xt;Designation of the dead
jmj-xt;baboons praising the sun
jmj-xt;lament
jmj-Xt;to carry out plans, to make
jmj-Xt;inner part of a vessel, side of a vessel
jmj-Xt;pus
jmj-st-a;wailing
jmj-sA;ship
jmj-swHt=f;tent
jmj-swHt=f;these
jmj-snkt;form
jmj-gbA=f;hide
jmj-tA;Conceal
jmjj-tp;title of a priest
jmj-Drw;God Amun
jmjj-Dt;God in snake form
jmjtw;right
jmjw-bAgj;Hidden
jmjw-hTt;hidden place of the underworld
jmjm;underworld
jmjm;goddess Amonet
jmjm;name of the {jmnt} object
jmw;right side, west
jmw;west, west
jmw;west wind
jmw;sacred snake
jmw;west
jmwt-nn;right eye
jmn;Amun, Lord of Karnak
jmn;western territories
jmn;westerners
jmn;the two hidden ones
jmn;title of a Bastet priest
jmn;byname of Amon
jmn;God
jmnt;byname of Amun
jmnt;the hidden one
jmnt;Epithet of the Sun God
jmnt;Daürndes
jmnt;Name of the haunting dead
jmnt;God
jmntj;asserting himself
jmntj;Slaughterer
jmntj;God designation
jmntt;Name of the mirror
jmntt;to be deaf
jmn nb nswt tAwjj;dressing
jmntjjw;hoe
jmntjw;slurp
jmnwjj;underworld
jmn-a;epithet of Isis
jmn-m-jpt;club
jmn-rn;Dill
jmn-rn=f;fish
jmnjjt;human-headed son of Horus
jmnj;name of an old age phenomenon
jmnjt;decay
jmnw;decay
jmnw;bird
jmnw;tree
jmnH;ball game
jmnHj;Protective wall
jmntjj;<<= {n} in initial position>>
jmr;Preposition
jmrw;negation
jmrt;dishes
jmH;by <<is not a preposition!>>
jmHt;non-clitic particle
jmHjt;vessel
jms;cut
jmst;garment
jmsk;part of the bar
jmstj;epithet of Sachmet
jmSt;name of the uraeus
jmk;through, on the part of someone
jmk;in spells
jmtr;carrier
jmT;linger
jmD;knife
jmDr;today
jn;double body part of a snake
jn;fish
jn;place name
jn;valley
jn;Fruit
jn;<<in Middle Egyptian>>
jn;Genii
jn;Field yield
jnt;Excerpt
jnt;footprint obliteration
jnt;Gods leg name
jntt;net, trawl
jn;bring
jn;name of red crown
jn;String
jn;refrain
jn;Waters
jn;Disease demon
jn;Fruit
jn;Part of a plant
jn;plant as fuel
jn;buy
jnt;cut up
jnt;knife
jnt;Weber
jnt;chin
jn (jw);chin
jnw;in a sacrificial scene
jn-Axt;Gifts
jn-ra;Messenger
jnt-rd;device for painting bricks
jn-Hrt;Example
jnjjt;something sweet
jnj;shipload
jnj;ferry
jnj;physical pain
jnjt;water carrier
jnjt;plant
jnjt;lynx
jnjt;bird
jnjt;Lynx fur
jnjt;Carrying rod
jnj-r-jsw;Maür
jnjn;Plant
jnjnt;Field
jnat;Drink
jna;barrier, fortress
jnat;for a protective maür
jnw;plant
jnw?;be mute
jnw;parts of the ship
jnw;old town of Memphis
jnw;evil, dirt
jnw;Memphis
jnw;to be laid down, to be prostrate, to lie on the stomach
jnwt;decay
jnwt;Nights
jnwt;young king before ascending the throne
jnw-mw;name for child
jnwn;Anubis
jnb;goddess
jnb;incense
j(n)bt;mineral
jnb;eye discharge
jnb;who?
jnb;Skin
jnb;wine
jnb;the one dressed in a coat
jnb;term for confederate
jnbt;if, except, if not
jnb-Sm;ointment
jnbA;net, trawl
jnbA;we
jnbj;turn
jnbw;Yield of the Nile
jnbw;Plant
jnbw-HD;rope, ribbon
jnp;Name of the Apophis
jnp;Tray
jnp;Stone
jnpw;Bowl
jnpw;Worm in wood
jnpw;King's headscarf
jnpwt;City Pathyris
jnf;Object made of stone
jnf(w);Name for large stone blocks
jnfw;Building stone
jnm;Limestone
jnm;building stone
jnmt;black granite
jnmjjt;oak
jnmkt;Chapel door
jnn;Fruit tree and fruit
jnn;eyebrow
jnnt;surround, enclose
jnn;vessel
jnn;enclosure
jnnt-Hapj;Enclosing leaves
jnnk;vessel
jnr;device for plowing
jnr;Ochre soil
jnr;priestess
jnr;official used
jnr;Red
jnr;dye red
jnr;Lower leg with foot
jnrtj;plant
jnr-wbA;light red linen
jnr-n-snt;Horus eye
jnr-nfr;testicle
jnr-HD;king
jnr-HD-nfr;embrace, close
jnr-km;bring flood
jnrn;web
jnhAt;epithet of a god
jnhmn;part of the carriage
jnH;i
jnH;ropes on the ship
jnHt;official used
jnHw;smooth
jnHs;drive back
jnHt;1 day of the 1 and 3 month of the {Smw} time
jnxw;hold back
jnXabt;animal
jns;epithet of the sun god
jns;shackle
jns;parts of the ship
jns;to be sad, to be sad
jnst;Sad
jnst;Afflicted
jnsj;noun
jnsjt;sick, wounded
jnsw;measure for charcoal
jnsw;Bag
jnq;sky
jnq;bird
jnq;subdivision of a phyle
jnqt;if
jnqtj;what concerns
jnqfqft;lion
jnk;measure of the way
jnkj;View
jnktwn;amount
jnt;eat
jntj;water
jntjs;headscarf
jntnt;eye
jntS;what to do
jnttj;flame
jnTt;both eyes
jnTw;sun and moon
jnd;eyes
jnd;bracelet
jnd;at someone's side
jndbw;evil eye
jnD;official used
jnDw;after that
jnDw;anyone
jrt;egypt
jrt;epithet of Hathor
jr(t);name of the sun
jr;footband
jr;Horus eye
jr;Name of the Red Crown
jr;Necklace
jr;if once
jr;Chest Hanging
jr;World creator
jr;Designation of the sun
jrt;once
jrt;bracelet
jrt;belonging to
jrt;Comrade
jrt;ointment
jrtj;field name
jrtj;ram
jrwj;make, do
jrt-awj;Knife
jr-aw;comrade
jrt-bjnt;to something related
jr-pt;deed
jr-m-xt;Dairy cow
jrt-nbt;Grain as levy
jrt-ra;Name for clothes
jrt-ra;Name for enemies
jrt-ra;Birds
jrt-rdwj;Office exercise
jrt-Hr;Wine
jrt-Hr-Axt;take residence
jrt-xxw;Performing ceremonies
jr-sp;Pay cattle tax
jrt-Snbt;overseer
jr-tA;work, sacrifice
jrt-tbj;caretaker
jr-Dr;Gatekeeper
jrt-Drtj;determine difference
jrj;provide for someone's livelihood
jrj;term for domestic servants
jrj;cause carnage
jrj;flee
jrj;put an end to
jrj;give someone a respite
jrj;do compulsory service
jrjt;arch bearer
jrjt;to do right
jrjt;to roast, to offer roast
jrjt;cupbearer of the
jrjt;lament
jrjw;scale master
jrjw;scribe's assistant
jrjw-pt;to act according to someone's wish
jrj-jAwt;wife's name
jrj-jb;spend time
jrj-jmn;offer water donation
jrj-jrw;her milk
jrj-jrw;carry out execution
jrj-jxt;set name series of the king
jrj-jxt;to be king
jrj-at;offer
jrj-aA;to enjoy sexually
jrj-aAj;companion
jrj-anx;take possession
jrj-aD;flood
jrj-aDt;title
jrj-wart;spend day
jrj-ws;Pilot
jrj-wdf;priest title
jrj-bH;precede someone
jrj-pDt;go bad
jrj-mAat;celebrate
jrj-maq;celebrate an anniversary
jrj-mw-n-ra;marry
jrj-mr;be a helmsman
jrj-mxAt;helmsman
jrj-mDAt;steer
jrj-n-HAtj=f;helmsman
jrj-n-Hms;settle
jrj-nw;God Arensnuphis
jrj-npA;offer libation
jrj-npH=s;Perform cult
jrj-nm;Perform cult
jrj-nxbt;Celebrate feast
jrj-nswjt;to take shape, to transform
jrj-nDt-Hr;be hostile to
jrj-nDmmt;accomplish something
jrj-rdwj;cause bloodbath
jrj-hAw;provide for need
jrj-hAnw;take place
jrjj-hp;protect
jrj-hrw;fulfill wishes
jrj-HAt;hold revision
jrj-HAt;pass by
jrj-HAt-(n);train , punish
jrj-HwAAt;title
jrj-Hb;fulfill requests
jrj-Hb-sd;occupy
jrj-Hmt;show
jrj-Hmj;God in underworld
jrj-Hmjt;Title
jrj-Hmw;care for
jrj-Hmw;title
jrj-Hms;transform
jrj-Hms-nfr;trade
jrj-Hn;sinful act
jrj-Hst;to look through files
jrj-Hsst;do something exemplary
jrj-xa;to make an effort
jrj-xprw;being next to someone
jrj-xftj;bisect
jrj-xn;priest title
jrj-xrjt;agree
jrj-Xrt;complain
jrj-st;to grieve someone
jrj-sA;act sacrilegiously
jrj-sArw;leader
jrj-sjptj;piece of meat
jrj-swAw;eyewitness
jrj-sbAjt;type of wood
jrj-spr;vessel
jrj-sprwt;amount
jrj-sm;job title
jrj-smj;someone's duty
jrj-snkt;creature
jrj-sHD;levyinder
jrj-sxrw;food
jrj-sd;term for woman
jrj-sDD;part of the ship
jrj-Swjtj;Worker
jrj-Sfw;Workers
jrj-Snw;Arrow maker
jrj-qd;Bow maker
jrj-grf;Job title
jrj-gs;Fabric of red color
jrj-gs;Disease
jrjj-tA;Rhino
jrj-tjw;Wine
jrj-Tst;vine
jrj-dHr-HAtj;water body in the gau of Elephantine
jrj-Dw-sDxj;Goddess of wine
jrjr;type of wine
jrw;Offering
jrw;Wine from Bahriye
jrw;Name of a god
jrw(t);product of the god's land
jrw;together with
jrw;radiate, shine
jrw;Faience
jrw;bronze vessel
jrw;bird or insect
jrw;Semi-precious stone
jrwt;Rock crystal
jrwt;Mirror
jrw-jxt;Basket
jrwt-jxt;Tree trunk, beam
jrw-aHAw;Basket
jrw-pDt;Mineral
jrw-mDr;Noun
jrtjw-Tmst;belonging to milk
jrwtn;fruit
jrbA;blue color
jrp;blue linen
jrp;appearance of festering ulcers
jrp;Traür
jrpt;watch out!
jrp-HAmw;foreign people
jrp-Sd;Bird
jrp-DsDs;fish
jrpj;Noun
jrpj;Milk
jrm;Name of the juice of the sycamore
jrm;Land in Nubia
jrr;Flower
jrrt;on
jrr;Sky cow
jrHnnt;Whoop
jrx;Ship for cattle
jrqbs;Hey!
jrqb(t);Joy
jrqs;lament, emit wailing sound
jrkt;Building
jrgs;Grain
jrt?;field camp
jrtjj;dance
jrtj;dance song
jrtjw;dancer
jrtjw;dancer
jrtjw;crowd
jrtjw;walk slowly
jrtjw;traürn
jrtjw;cheer
jrtjw;myrrh
jrtDr;officially used
jrT;the one who walks slowly
jrT;deity, son of Nefertem
jrTt;rope
jrTt;tent of the nomads
jrTt;whoop
