=i҆|I
i҆ꜣ|stride
i҆ꜣt|backbone
i҆ꜣt|Support rod
i҆ꜣt|noun
i҆ꜣt|site
i҆ꜣt|Name of a goddess
i҆ꜣt|Offering
i҆ꜣt|time
i҆ꜣt|room
i҆ꜣt|plant
i҆ꜣti҆|Milk god
i҆ꜣtt|Name of the milk
i҆ꜣtt|noun
i҆ꜣti҆i҆w|Standard gods
i҆ꜣwt|Egypt
i҆ꜣt-wꜥbt|Abaton
i҆ꜣꜣ|stone
i҆ꜣꜣ|plant
i҆ꜣꜣt|Club
i҆ꜣꜣt|Branch, tail
i҆ꜣꜣt|noun
i҆ꜣꜣw|bird
i҆ꜣꜣw|Aries
i҆ꜣi҆t|Old men
i҆ꜣi҆w|Hair braids
i҆ꜣꜥ|Apron
i҆ꜣw|hill
i҆ꜣw|Praise
i҆ꜣw|officially used
i҆ꜣw|old man
i҆ꜣwt|Age
i҆ꜣwt|Old woman
i҆ꜣwt|Old men, old men
i҆ꜣwt|device
i҆ꜣwt|Would
i҆ꜣwt|cattle
i҆ꜣwti҆|Dignitaries
i҆ꜣwt-ḫntt|most distinguished offices
i҆ꜣwꜣ|box
i҆ꜣwi҆|to become old
i҆ꜣwi҆|Age
i҆ꜣwti҆|Name of Horus
i҆ꜣb|noun
i҆ꜣb|foul smelling or similar
i҆ꜣb|left
i҆ꜣbt|left side
i҆ꜣbt|east
i҆ꜣbt|left eye
i҆ꜣbti҆|east
i҆ꜣbti҆|east wind
i҆ꜣbtt|east
i҆ꜣbtt|left eye
i҆ꜣbi҆|Left
i҆ꜣbi҆s|Foundation, honey
i҆ꜣbrk|Item made of silver
i҆ꜣbtt|Snake goddess
i҆ꜣbtt|Cases
(i҆)ꜣbt|bird
i҆ꜣbti҆w|Eastern residents
i҆ꜣbti҆w|east
i҆ꜣpt|Stake, board
i҆ꜣpi҆i҆|Deity
i҆ꜣft|claw
i҆ꜣfw|discharge
i҆ꜣm|tie
i҆ꜣm|burn
i҆ꜣr|Sadness
i҆ꜣr|plant
i҆ꜣrt|Uraeus
i҆ꜣrt|Part of a fish
i҆ꜣrt|scepter
i҆ꜣrw|Bulrush
i҆ꜣrw|God of the rushes
i҆ꜣrrt|Vine, grape
i҆ꜣḥs|God of Upper Egypt
i҆ꜣḫ|shine
i҆ꜣḫt|Nickname of Hathor
i҆ꜣḫi҆|to be flooded
i҆ꜣḫw|shine
i҆ꜣst|Goddess of the night sky
i҆ꜣs|bald
i҆ꜣs|Name of a Hathor priest
i҆ꜣsw|sky
i҆ꜣš|call
i҆ꜣš|Name of Seth
i҆ꜣḳ|crawl
i҆ꜣḳ|dominate
i҆ꜣḳ|climb up
i҆ꜣḳt|leek
i҆ꜣk|old
i҆ꜣkb|mourn
i҆ꜣkb|Sadness
i҆ꜣkbi҆|Plaintiff
i҆ꜣkbi҆|Part of the underworld
i҆ꜣkbi҆t|Plaintiff
i҆ꜣgwt|officially used
i҆ꜣṯ|to be mutilated
i҆ꜣṯt|injury
i҆ꜣṯi҆w|mutilation
i҆ꜣṯw|Place of execution
i҆ꜣd|Name of a star
i҆ꜣd|tape
i҆ꜣd|tread
i҆ꜣd|be miserable, torment
i҆ꜣd|Wretched, poor, wicked
i҆ꜣdt|Want, need
i҆ꜣdt|Pasture
i҆ꜣdt|dew
i҆ꜣdt|Net for catching birds, clothing
i҆ꜣdt-rnpt|Emergency year
i҆ꜣdi҆|Place name
i҆ꜣdw|pest
i҆ꜣdw|Place in the realm of the dead
i҆ꜣdmt|plant
i҆i҆|Saying
i҆i҆|agree
i҆i҆|come
i҆i҆|Nickname of Horus
i҆i҆|fish
i҆i҆t|Sanctuary in Letopolis
i҆i҆t|Calamity
i҆i҆t|knife
i҆i҆wi҆|welcome!
i҆i҆-msi҆|Name of the stepmother
i҆i҆-n-gs=f|go wherever you want
i҆i҆-r-thi҆|approaching themselves wickedly
i҆i҆-ḥr-mw|be devoted to someone
i҆i҆r|Fields
i҆i҆r|Deer, ram
i҆i҆ḥ|Marsh plant
i҆i҆ti҆-ꜥḏti҆|Welcome!
i҆i҆i҆ti҆i҆w|Bearer of the naos
i҆ꜥt|Pearl net, pearl row
i҆ꜥ|Wash bowl
i҆ꜥ|dig
i҆ꜥ|rising up
i҆ꜥ-ḥr|ceremony
i҆ꜥꜣ|Apron
i҆ꜥꜣt|Dead threatening creature
i҆ꜥi҆t|Cleaner
i҆ꜥi҆i҆|who is happy
i҆ꜥi҆|to wash
i҆ꜥi҆|washer
i҆ꜥi҆t|officially used
i҆ꜥi҆-i҆b|delight
i҆ꜥi҆-nb|Gold washer, panning for gold
i҆ꜥi҆-ḥr|perceptive
i҆ꜥꜥ|Fruit or grain
i҆ꜥꜥ|Noun:
i҆ꜥꜥw|smear with plaster of paris
i҆ꜥw-rꜣ|breakfast
i҆ꜥbt|Offerings
i҆ꜥb|rake
i҆ꜥb|Bowl
i҆ꜥb|unite
i҆ꜥb-i҆ḫt|sacrifice
i҆ꜥbw|Need
i҆ꜥf|to squeeze
i҆ꜥn|Device, container for myrrh
i҆ꜥnt|female baboon
i҆ꜥni҆|baboon
i҆ꜥnw|Grief
i҆ꜥr|Gemstone in its raw state
i҆ꜥr|rising up
i҆ꜥrt|Snake
i҆ꜥrti҆|Bearer of the royal snakes
i҆ꜥri҆t|Apartment of the gods
i҆ꜥḥ|moon
i҆ꜥḥ|18 day of the month
i҆ꜥḥt|building
i҆ꜥḥ-wr|Full moon
i҆w|<< in Middle Egyptian >>
i҆w|be
i҆wt|Ship part
i҆w|be
i҆w|Hunchback
i҆w|Ferryman
i҆w|Harpooner
i҆w|come
i҆w|island
i҆w|cattle
i҆w|split off
i҆w|dog
i҆w|Name of Thoth
i҆w|Evil
i҆w|complain
i҆wt|device
i҆wt|those who don't
i҆wti҆|the one that doesn't
i҆wti҆|Name of Seth
i҆w + r|come for
i҆wti҆=f|Dispossessed
i҆w=f-m-nri҆|Name for the seed
i҆w-m-i҆trw|Gebelen
i҆wti҆-n=f|dispossessed
i҆w-nsrsr|Hermopolis necropolis
i҆w-nšn|Edfu
i҆w-r|be determined for something
i҆wti҆-ḥꜣti҆=f|discouraged
i҆w-ẖr|to have
i҆wti҆-skw=f|indestructible
i҆wꜣ|Beef
i҆wꜣ|rejoice
i҆wꜣ|take away, rob
i҆wꜣ|fish
i҆wꜣt|cow
i҆wꜣt|Cattle?
i҆wꜣt|White bread
i҆wꜣi҆t|Worker
i҆wꜣi҆t|throat
i҆wꜣw|Removal, removal
i҆wi҆|shipless
i҆wi҆|water
i҆wi҆|incense
i҆wi҆|shrub
i҆wi҆|handle
i҆wi҆t|Evil
i҆wi҆t|House
i҆wi҆i҆|which is not
i҆wi҆w|dog
i҆wi҆w|complain
i҆wꜥ|Part of the leg
i҆wꜥ|Name of quadruped animals
i҆wꜥ|inherit
i҆wꜥ|give presents
i҆wꜥ|reward
i҆wꜥt|heiress
i҆wꜥt|Inheritance, inheritance
i҆wꜥwt|the heirs
i҆wꜥi҆t|Troop
i҆wꜥi҆t|Settlement
i҆wꜥw|heritage
i҆wꜥw|Ring as an award
i҆ww|alas! Wailing screams
i҆ww|Ferryman in the sky
i҆wbt|Part of the bread
i҆wf|refers to the monkey that Atum incarnates as
i҆wf|flesh
i҆wf-dr|cured meat
i҆wm|plant
i҆wms|Falsehood
i҆wn|carry in procession
i҆wn|colour
i҆wn|nest
i҆wn|unite
i҆wn|wind
i҆wn|pier
i҆wn|Nickname of Osiris
i҆wn|Mole breaker
i҆wn|Pile of corpses
i҆wn|Heliopolis
i҆wnt|Dendera
i҆wnt|arc
i҆wnt|noun
i҆wnti҆|Troglodytes
i҆wnti҆|Musician in the temple
i҆wntt|Goddess of Dendera
i҆wn-n-pt|flower
i҆wn-ḥꜥꜥ|Name of the moon
i҆wn-šmꜥ|Hermonthis
i҆wn-grb|Canopian mouth of the Nile
i҆wni҆|Waters
i҆wni҆|Nickname of Amun
i҆wni҆|Designation of what is represented as a statue
i҆wni҆|Hermonthis
i҆wni҆t|Column hall
i҆wni҆t|Goddess of Dendera
i҆wni҆t|Letopolis
i҆wni҆t|Goddess of Hermonthis
i҆wnw|Nickname of the sun god
i҆wnw|Heliopolis
i҆wnw|Rod
i҆wnw pr|upright column
i҆wnw-šmꜥw|Hermonthis
i҆wnwi҆|Heliopolitans
i҆wnwi҆|Nickname of Atum
i҆wnn|Dwelling of a god
i҆wns|lie
i҆wr|receive
i҆wr|pregnancy
i҆wr|Firmly
i҆wr|Meat dish
i҆wrt|Pregnant women
i҆wri҆t|Bean
i҆wh|carry, load
i҆wḥ|wet, fertilize
i҆wḥ|rob
i҆wḥ|Evil
i҆wḥ|cry, complain
i҆wḥi҆t|Designation of Isis as the plaintiff
i҆wḥw|flooding
i҆wḥw|Name of a dwarf
i҆wḥw|officially used
i҆ws-ꜥꜣs|goddess
i҆wsꜣw|Masturbators
i҆wsw|Libra
i҆wšš|Dough, porridge
i҆wšš-sṯꜣ|tough dough
i҆wḳt|plant
i҆wti҆i҆|the one who has nothing
i҆wti҆i҆w|they don't; who no longer exist = the dead
i҆wti҆i҆w|<< read {Axtyw} >>
i҆wti҆-btꜣ=f|innocent
i҆wti҆-hbn-šnw|incorruptible
i҆wti҆w|Rotten
i҆wti҆w|God
i҆wtn|ground
i҆wd|separate, divorce
i҆wd|to catch
i҆wdt|separation
i҆wdnb|Incense
i҆wḏmn|noun
i҆b|plant
i҆b|hide
i҆b|heart
i҆b|hostile
i҆b|Name of Apophis
i҆b|Deciduous tree
i҆b|Sistrum
i҆b|Lugs
i҆b|ointment
i҆b|Thirstier
i҆b|suspect
i҆b|silver toilet object
i҆b|Part of the bird network
i҆b|Title or official title
i҆bt|path
i҆bt|breadcrumb
i҆bt|thirst
i҆bt|Part of a plant
i҆b r=k|Watch out!
i҆bwi҆i҆|amulet
i҆b-m-srf|carefully
i҆b-n-rꜥ|Nickname of the Chons
i҆b-n-rꜥ|Nickname of Thoth
i҆b-n-dnrg|Part of a plant
i҆bꜣ|Game piece
i҆bꜣ|to dance
i҆bꜣ|Amusement
i҆bꜣ|dancer
i҆bꜣt|ointment
i҆bꜣt|dancer
i҆bꜣi҆i҆t|insect
i҆bꜣi҆i҆t|end
i҆bꜣw|Dances
i҆bꜣw|Mane sheep
i҆bꜣn|sleep
i҆bi҆|Handle, handle
i҆bi҆i҆t|Servants of the Neith
i҆bi҆|thirst
i҆bi҆b|Darling
i҆bw|calf
i҆bw|Ropes
i҆bw|noun
i҆bw|plant
i҆bw|Refuge
i҆bw sḫt|tree
i҆bwi҆|Rope on ship
i҆bb|Beetle
i҆bbw|Rope on ship
i҆bn|Name of Apophis
i҆bn|knife
i҆bnw|mineral
i҆br|ointment
i҆br|stallion
i҆br|flow
i҆bhꜣhi҆ti҆|Snake
i҆bhti҆|stone
i҆bḥ|tooth
i҆bḥ|laugh
i҆bḥ|be damp
i҆bḥw|bust
i҆bḫi҆|officially used
i҆bẖ|water
i҆bs|Part of the ship
i҆bs|headscarf
i҆bsꜣ|oil
i҆bsꜣ|plant
i҆bsw|catafalque
i҆bsn|illness
i҆bšt|loaf
i҆bkꜣ|sow
i҆bt|Lynx fur
i҆bṯt|Bird trap
i҆bṯti҆|Bird catcher
i҆bṯrsw|Animal species
i҆bṯt|noun
i҆bd|month
i҆bd|Firmly
i҆bd|Name of the priest of the month
i҆bd|Name of the moon
i҆p|counting
i҆p|stairway
i҆p|Blow
i҆p|red dye
i҆pt|count
i҆pt|Mass
i҆pt|lockable part of the building
i҆pt|Frauhaus
i҆pt|Firmly
i҆pt|Luxor
i҆pt|goddess
i҆pt|Label for heaven
i҆pt|officially used
i҆p-i҆b|sensible
i҆p-i҆b|Nickname of Thoth
i҆p-ḥmt=s|Nickname of the Töris
i҆p-ḥmt=s|Firmly
i҆pt-swt|Karnak
i҆pꜣ|red dye
i҆pꜣ|Office or similar
i҆pꜣt|Office or similar
i҆pi҆|to fly
i҆pi҆i҆|goddess
i҆pi҆p|Alabaster device
i҆pi҆p|month
i҆pi҆pt|goddess
i҆pw|Duties, taxes
i҆pw|Files
i҆pw|drink
i҆pw|Panopolis
i҆pw|these
i҆pwi҆i҆|Lion goddess of Mankabad
i҆pwi҆|Nickname of the min
i҆pwr|drink
i҆ppt|Lump
i҆ppt|Clay brick, earth for brick
i҆pn|these
i҆pḥ|pig
i҆ps|Part of the ship
i҆pšnn|officially used
i҆pt|cups
i҆pt|Bread for soldiers
i҆pd|Measure for cake
i҆pdw|Furniture
i҆pḏs|dean
i҆ft|Body part of the bovine
i҆fn|turn over
i҆ft|fruit
i҆fd|four corners, sides
i҆fd|four-sided piece of land
i҆fd|Sanctuary in Edfu
i҆fd|Four-weave, four-sided piece of linen
i҆fd|square stone block
i҆fd|run away
i҆fdt|Number four
i҆mt|Part of a team
i҆m|since there
i҆m|pupil
i҆m|lament
i҆m|rib
i҆m|shape
i҆m|volume
i҆m|bird
i҆m|Part on the car
i҆m|noun
i҆m|sea
i҆mt|powder
i҆mt|City of Buto in Lower Egypt
i҆mti҆|that of Buto
i҆mti҆|Pupil
i҆mtt|Goddess of Buto
i҆mt pt|Shortness of breath
i҆mti҆-ḫnti҆|Gau of Pelusium
i҆mꜣ|Date palm?
i҆mꜣ|be pleasant
i҆mꜣ|Kindness
i҆mꜣ|beautiful figure
i҆mꜣ|Name of the sacrificial dishes
i҆mꜣ|beautify
i҆mꜣ|Land in Nubia
i҆mꜣt|female capricorn
i҆mꜣt|female
i҆mꜣt|Kindness
i҆mꜣt|beauty
i҆mꜣt|Priestess in Edfu
i҆mꜣ-i҆b|be happy
i҆mꜣ-i҆b|popular
i҆mꜣi҆t|Leaves of the {jmA} tree
i҆mꜣi҆t|Nickname of Hathor
i҆mꜣw|Place of Hathor
i҆mꜣw|Shine of the sun
i҆mꜣw|Red color
i҆mꜣw|tent
i҆mꜣwti҆|Name of Amon
i҆mꜣḫ|Name of the incense
i҆mꜣḫ|Piece of the spine with spinal cord
i҆mꜣḫ|to be worthy of honor someone
i҆mꜣḫ|Would
i҆mꜣḫ|More worthy
i҆mꜣḫi҆i҆t|glorification
i҆mꜣḫw|More worthy
i҆mꜣḫwt|Venerable
i҆mi҆|the one who is designed
i҆mi҆|Interior
i҆mi҆|located in
i҆mi҆|Heart of a fruit
i҆mi҆|Young in the egg
i҆mi҆|belonging to
i҆mi҆|Not be
i҆mi҆|give!
i҆mi҆t|Sun eye
i҆mi҆t|flame
i҆mi҆ wsḫ|Companion on board
i҆mi҆ rnpt|Priest in annual service
i҆mi҆w-pt|those in heaven = the gods
i҆mi҆w-pr|those in the house = servants, household
i҆mi҆-i҆b|Darling
i҆mi҆-i҆b|understanding
i҆mi҆t-i҆b|thought
i҆mi҆-i҆bd=f|Term for the monthly priests on duty
i҆mi҆-i҆rti҆|Name of the captain
i҆mi҆-i҆s|Office and priest titles
i҆mi҆-i҆tn=f|Nickname of the sun god
i҆mi҆-ꜥḥ|Name of the king
i҆mi҆-wi҆ꜣ=f|Nickname of the sun god
i҆mi҆-wnwt|Hour watcher
i҆mi҆-wrt|West, right, starboard
i҆mi҆-wrt|Priestly phyle
i҆mi҆-whn=f|Snake
i҆mi҆i҆t-wsḫt|sacrifices laid in the courtyard of the temple
i҆mi҆-wt|Symbol and title of Anubis
i҆mi҆-wti҆|in the middle of
i҆mi҆-bꜣḥ|located before, earlier
i҆mi҆-bꜣḥ|ancestor
i҆mi҆-bꜣg|Name of Osiris
i҆mi҆-p|Priestly title in Edfu
i҆mi҆-pr|legacy
i҆mi҆t-pr|testament
i҆mi҆t-pr|Household items
i҆mi҆-mw|Aquatic animals
i҆mi҆-n-ḥmm|officially used
i҆mi҆-nꜣwt|Name of a snake
i҆mi҆-nfrt|Death priest phyle
i҆mi҆t-nḏst|Name of the ship's stern
i҆mi҆t-nḏst|Designation of a death priest phyle
i҆mi҆-rꜣ|tongue
i҆mi҆-rꜣ|Chief
i҆mi҆-rꜣ|Saying
i҆mi҆t-rꜣ|equipment
i҆mi҆-rꜣ-ḥꜣt|Title of the bleacher
i҆mi҆-rn=f|list
i҆mi҆-rd|Term for enemy
i҆mi҆-rd|Ankle cuffs
i҆mi҆-hꜣw=f|the current one
i҆mi҆-hi҆w|stop!
i҆mi҆-hrw=f|on duty on his day
i҆mi҆-ḥꜣt|in front of
i҆mi҆-ḥꜣt|earlier
i҆mi҆-ḥꜣt|ancestor
i҆mi҆t-ḥꜣt|previous state
i҆mi҆-ḥꜣw|multiply!
i҆mi҆-ḥb-sd|Nickname of the sun
i҆mi҆-ḥnti҆=f|who is on his throne
i҆mi҆i҆-ḥrt|the one in heaven = the sun
i҆mi҆-ḫnt|Title of a priest
i҆mi҆-ḫt|Title of a priest
i҆mi҆-ḫt|entourage
i҆mi҆-ḫt|located behind
i҆mi҆-ẖt|embryo
i҆mi҆-ẖt|guts
i҆mi҆-ẖt|thought
i҆mi҆-st-ꜥ|Piece of jewelry
i҆mi҆-sꜣ|Assistant to a senior
i҆mi҆-swḥt=f|embryo
i҆mi҆-swḥt=f|Nickname of the sun god
i҆mi҆-snkt|God in the underworld
i҆mi҆-gbꜣ=f|of a divine butcher
i҆mi҆-tꜣ|Name of the snakes, the stones
i҆mi҆i҆-tp|crutch
i҆mi҆-ḏrw|within
i҆mi҆i҆-ḏt|Name of the mirror
i҆mi҆tw|arrange!
i҆mi҆w-bꜣgi҆|Name of the dead
i҆mi҆w-hṯt|Baboons that praise the sun
i҆mi҆m|lament
i҆mi҆m|Execute, make plans
i҆mw|inner part of a vessel, side of a vessel
i҆mw|pus
i҆mw|Wailing screams
i҆mw|ship
i҆mw|tent
i҆mwt-nn|this there
i҆mn|form
i҆mn|hide
i҆mn|More hidden
i҆mn|Title of a priest
i҆mn|God Amun
i҆mn|God in the form of a serpent
i҆mn|right
i҆mnt|Hidden
i҆mnt|hidden place of the underworld
i҆mnt|Underworld
i҆mnt|Goddess Amonet
i҆mnt|Name of the {jmnt} item
i҆mnt|right side, west
i҆mnti҆|west, west
i҆mnti҆|West wind
i҆mnti҆|sacred snake
i҆mntt|west
i҆mntt|right eye
i҆mn nb nswt tꜣwi҆i҆|Amun, Lord of Karnak
i҆mnti҆i҆w|western areas
i҆mnti҆w|Western residents
i҆mnwi҆i҆|the two hidden ones
i҆mn-ꜥ|Bastet priest title
i҆mn-m-i҆pt|Nickname of Amon
i҆mn-rn|God
i҆mn-rn=f|Nickname of Amun
i҆mni҆i҆t|the hidden one
i҆mni҆|Nickname of the sun god
i҆mni҆t|For a long time
i҆mnw|Name of the haunted dead
i҆mnw|God
i҆mnw|asserting himself
i҆mnḥ|Butcher
i҆mnḥi҆|Designation of God
i҆mnti҆i҆|Name of the mirror
i҆mr|be deaf
i҆mrw|Bandages
i҆mrt|hoe
i҆mḥ|slurp
i҆mḥt|Underworld
i҆mḥi҆t|Nickname of Isis
i҆ms|Club
i҆mst|dill
i҆msk|fish
i҆msti҆|human-headed son of Horus
i҆mšt|Name of an age phenomenon
i҆mk|decay
i҆mk|decay
i҆mtr|bird
i҆mṯ|tree
i҆mḏ|Ball game
i҆mḏr|Protective wall
i҆n|<< = {n} in starting position >>
i҆n|preposition
i҆n|negation
i҆n|dishes
i҆n|through << is not a preposition! >>
i҆n|non-critical particles
i҆n|Vessel
